Country Code;Country;Item Code;Item;Element Code;Element;Unit;Y1961;Y1961F;Y1962;Y1962F;Y1963;Y1963F;Y1964;Y1964F;Y1965;Y1965F;Y1966;Y1966F;Y1967;Y1967F;Y1968;Y1968F;Y1969;Y1969F;Y1970;Y1970F;Y1971;Y1971F;Y1972;Y1972F;Y1973;Y1973F;Y1974;Y1974F;Y1975;Y1975F;Y1976;Y1976F;Y1977;Y1977F;Y1978;Y1978F;Y1979;Y1979F;Y1980;Y1980F;Y1981;Y1981F;Y1982;Y1982F;Y1983;Y1983F;Y1984;Y1984F;Y1985;Y1985F;Y1986;Y1986F;Y1987;Y1987F;Y1988;Y1988F;Y1989;Y1989F;Y1990;Y1990F;Y1991;Y1991F;Y1992;Y1992F;Y1993;Y1993F;Y1994;Y1994F;Y1995;Y1995F;Y1996;Y1996F;Y1997;Y1997F;Y1998;Y1998F;Y1999;Y1999F;Y2000;Y2000F;Y2001;Y2001F;Y2002;Y2002F;Y2003;Y2003F;Y2004;Y2004F;Y2005;Y2005F;Y2006;Y2006F;Y2007;Y2007F;Y2008;Y2008F;Y2009;Y2009F;Y2010;Y2010F;Y2011;Y2011F;Y2012;Y2012F;Y2013;Y2013F
51;Czechoslovakia;1632;Sawnwood (C);5922;Export Value;1000 US$;26598.00;Q;32014.00;Q;32292.00;Q;33822.00;Q;33545.00;Q;34447.00;Q;31462.00;Q;24517.00;Q;27215.00;Q;30591.00;Q;30523.00;Q;34030.00;Q;47633.00;Q;65833.00;Q;75950.00;Q;80900.00;Q;85500.00;F;94383.00;X;115200.00;X;110450.00;X;114100.00;F;119450.00;F;129300.00;F;129400.00;F;112079.00;F;134350.00;F;122800.00;F;118250.00;F;112300.00;Q;159824.00;Q;137650.00;Q;132625.00;Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Democratic People's Republic of Korea;1632;Sawnwood (C);5516;Production;m3;185000.00;Q;185000.00;Q;185000.00;Q;185000.00;Q;185000.00;Q;185000.00;Q;185000.00;Q;185000.00;Q;185000.00;Q;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;F;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Ft;185000.00;Fp;185000.00;Fp;185000.00;Fp;185000.00;Fp;185000.00;Fp;185000.00;Fp;185000.00;Fp;185000.00;Fp
116;Democratic People's Republic of Korea;1632;Sawnwood (C);5616;Import Quantity;m3;;;;;;;;;;;;;;;200.00;Q;200.00;Q;200.00;F;200.00;F;200.00;F;200.00;F;200.00;F;200.00;F;200.00;F;200.00;Q;200.00;F;200.00;F;200.00;F;;;;;;;;;;;;;0.00;F;;;;;;;;;144.00;Q;706.00;Q;755.00;Q;1071.00;Q;2000.00;Q;1612.00;Q;1000.00;Q;1000.00;Ft;1000.00;Ft;200.00;Q;200.00;Ft;200.00;Ft;200.00;Ft;200.00;Ft;200.00;Fp;200.00;Fp;109.00;X;555.00;X;92.00;W;938.00;W;273.00;W;135.00;W
116;Democratic People's Republic of Korea;1632;Sawnwood (C);5622;Import Value;1000 US$;;;;;;;;;;;;;;;46.00;Q;64.00;Q;64.00;Q;64.00;F;64.00;F;64.00;F;64.00;F;64.00;F;64.00;F;64.00;F;64.00;F;64.00;F;64.00;F;;;;;;;;;;;;;0.00;F;;;;;;;;;51.00;Q;157.00;Q;377.00;Q;212.00;Q;273.00;Q;356.00;Q;238.00;Q;238.00;Ft;238.00;Ft;45.00;Q;45.00;Ft;45.00;Ft;45.00;Ft;45.00;Ft;45.00;Fp;45.00;Fp;134.00;X;239.00;X;32.00;W;358.00;W;255.00;W;112.00;W
116;Democratic People's Republic of Korea;1632;Sawnwood (C);5916;Export Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1154.00;Q;364.00;Q;2197.00;Q;775.00;Q;9500.00;Q;9679.00;Q;4100.00;Q;4100.00;Ft;4100.00;Ft;21100.00;Q;21100.00;Ft;21100.00;Ft;21100.00;Ft;21100.00;Ft;18562.00;X;19790.00;X;603.00;X;367.00;X;2141.00;X;7087.00;W;9703.00;W;8459.00;W
116;Democratic People's Republic of Korea;1632;Sawnwood (C);5922;Export Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108.00;Q;38.00;Q;180.00;Q;76.00;Q;616.00;Q;848.00;Q;338.00;Q;338.00;Ft;338.00;Ft;1678.00;Q;1678.00;Ft;1678.00;Ft;1678.00;Ft;1678.00;Ft;1752.00;X;2053.00;X;276.00;X;78.00;X;326.00;X;1561.00;W;1921.00;W;1530.00;W
250;Democratic Republic of the Congo;1632;Sawnwood (C);5616;Import Quantity;m3;;;;;;;300.00;Q;800.00;Q;;;;;;;;;;;;;;;;;;;;;3100.00;Q;100.00;Q;;;;;;;;;;;;;;;;;;;0.00;F;;;;;;;;;;;;;0.00;Ft;6.00;Q;6.00;Ft;0.00;Q;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;1.00;F;439.00;F;439.00;Ft;730.00;X;202.00;X;481.00;X;53.00;X;217.00;X;108.00;X;160.00;X;354.00;W
250;Democratic Republic of the Congo;1632;Sawnwood (C);5622;Import Value;1000 US$;;;;;;;15.00;X;40.00;X;;;;;;;;;;;;;;;;;;;;;870.00;Q;22.00;Q;;;;;;;;;;;;;;;;;;;0.00;F;;;;;;;;;;;;;0.00;Ft;2.00;Q;2.00;Ft;0.00;Q;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;2.00;F;76.00;F;76.00;Ft;100.00;X;52.00;X;134.00;X;13.00;X;65.00;x;37.00;x;100.00;X;157.00;W
250;Democratic Republic of the Congo;1632;Sawnwood (C);5916;Export Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;Q;0.00;Q;0.00;Q;0.00;Q;0.00;Q;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;440.00;F;28.00;F;250.00;F;250.00;Ft;250.00;Fp;0.00;X;0.00;X;0.00;W;0.00;W;0.00;W;0.00;W;4106.00;W
250;Democratic Republic of the Congo;1632;Sawnwood (C);5922;Export Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;Q;0.00;Q;0.00;Q;0.00;Q;0.00;Q;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;252.00;F;30.00;F;42.00;F;42.00;Ft;42.00;Fp;0.00;X;0.00;X;0.00;W;0.00;W;0.00;W;0.00;W;3136.00;W
